Datum     | Uhrzeit | Nutzer| Aktion
02.02.2026|07:54:17|User 2|Anmeldung erfolgreich
02.02.2026|07:54:18|User 2|Menü wurde geöffnet
02.02.2026|07:54:20|User 2|Programm beendet
02.02.2026|07:54:51|User 1|Anmeldung erfolgreich
02.02.2026|07:54:57|User 1|Zu Badezimmer gewechselt
02.02.2026|07:55:48|User 1|Menü wurde geöffnet
02.02.2026|07:55:49|User 1|Programm beendet
02.02.2026|07:56:56|User 2|Anmeldung erfolgreich
02.02.2026|08:00:05|User 2|Anmeldung erfolgreich
02.02.2026|08:00:06|User 2|Zu Kueche gewechselt
02.02.2026|08:00:09|User 2|Zurück zur HOME-View
02.02.2026|08:00:11|User 2|Menü wurde geöffnet
02.02.2026|08:00:12|User 2|Programm beendet
02.02.2026|08:01:35|User 1|Anmeldung erfolgreich
02.02.2026|08:01:38|User 1|Menü wurde geöffnet
02.02.2026|08:01:39|User 1|Programm beendet
02.02.2026|08:02:56|User 1|Anmeldung erfolgreich
02.02.2026|08:03:00|User 1|Menü wurde geöffnet
02.02.2026|08:03:01|User 1|Menü wurde geschlossen
02.02.2026|08:03:03|User 1|Menü wurde geöffnet
02.02.2026|08:03:03|User 1|Programm beendet
02.02.2026|08:04:31|User 2|Anmeldung erfolgreich
02.02.2026|08:04:35|User 2|Menü wurde geöffnet
02.02.2026|08:04:36|User 2|Programm beendet
02.02.2026|08:06:14|User 2|Anmeldung erfolgreich
02.02.2026|08:06:17|User 2|Menü wurde geöffnet
02.02.2026|08:06:18|User 2|Programm beendet
02.02.2026|08:09:07|User 1|Anmeldung erfolgreich
02.02.2026|08:09:12|User 1|Menü wurde geöffnet
02.02.2026|08:09:14|User 1|Menü wurde geschlossen
02.02.2026|08:10:03|User 1|Anmeldung erfolgreich
02.02.2026|08:10:07|User 1|Zu Kueche gewechselt
02.02.2026|08:10:13|User 1|Menü wurde geöffnet
02.02.2026|08:10:15|User 1|Programm beendet
02.02.2026|08:26:04|User 1|Anmeldung erfolgreich
02.02.2026|08:26:05|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:26:19|User 1|Menü wurde geöffnet
02.02.2026|08:26:20|User 1|Menü wurde geschlossen
02.02.2026|08:26:21|User 1|Zurück zur HOME-View
02.02.2026|08:26:22|User 1|Menü wurde geöffnet
02.02.2026|08:26:23|User 1|Programm beendet
02.02.2026|08:27:29|User 1|Anmeldung erfolgreich
02.02.2026|08:27:30|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:27:42|User 1|Menü wurde geöffnet
02.02.2026|08:27:44|User 1|Programm beendet
02.02.2026|08:28:54|User 1|Anmeldung erfolgreich
02.02.2026|08:28:55|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:29:11|User 1|Zurück zur HOME-View
02.02.2026|08:29:12|User 1|Menü wurde geöffnet
02.02.2026|08:29:14|User 1|Programm beendet
02.02.2026|08:30:25|User 1|Anmeldung erfolgreich
02.02.2026|08:30:25|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:30:44|User 1|Zurück zur HOME-View
02.02.2026|08:30:48|User 1|Zu Badezimmer gewechselt
02.02.2026|08:30:50|User 1|Zurück zur HOME-View
02.02.2026|08:30:52|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:31:00|User 1|Zurück zur HOME-View
02.02.2026|08:31:01|User 1|Menü wurde geöffnet
02.02.2026|08:31:02|User 1|Programm beendet
02.02.2026|08:32:27|User 1|Anmeldung erfolgreich
02.02.2026|08:32:28|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:33:03|User 1|Menü wurde geöffnet
02.02.2026|08:33:05|User 1|Programm beendet
02.02.2026|08:34:16|User 1|Anmeldung erfolgreich
02.02.2026|08:34:17|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:34:47|User 1|Zurück zur HOME-View
02.02.2026|08:34:48|User 1|Zu Badezimmer gewechselt
02.02.2026|08:34:54|User 1|Zurück zur HOME-View
02.02.2026|08:34:55|User 1|Zu Kueche gewechselt
02.02.2026|08:34:57|User 1|Menü wurde geöffnet
02.02.2026|08:34:59|User 1|Programm beendet
02.02.2026|08:35:54|User 1|Anmeldung erfolgreich
02.02.2026|08:35:55|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:36:12|User 1|Menü wurde geöffnet
02.02.2026|08:36:14|User 1|Programm beendet
02.02.2026|08:36:33|User 1|Anmeldung erfolgreich
02.02.2026|08:36:34|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:36:39|User 1|Zurück zur HOME-View
02.02.2026|08:36:43|User 1|Zu Kueche gewechselt
02.02.2026|08:36:46|User 1|Zurück zur HOME-View
02.02.2026|08:36:51|User 1|Menü wurde geöffnet
02.02.2026|08:36:52|User 1|Programm beendet
02.02.2026|08:40:52|User 1|Anmeldung erfolgreich
02.02.2026|08:40:53|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:40:59|User 1|Zurück zur HOME-View
02.02.2026|08:40:59|User 1|Zu Badezimmer gewechselt
02.02.2026|08:41:01|User 1|Zurück zur HOME-View
02.02.2026|08:41:03|User 1|Zu Kueche gewechselt
02.02.2026|08:41:10|User 1|Zurück zur HOME-View
02.02.2026|08:41:11|User 1|Zu Wohnzimmer gewechselt
02.02.2026|08:41:20|User 1|Menü wurde geöffnet
02.02.2026|08:41:22|User 1|Programm beendet
02.02.2026|08:42:58|User 1|Anmeldung erfolgreich
02.02.2026|08:42:58|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:43:26|User 1|Zurück zur HOME-View
02.02.2026|08:43:28|User 1|Menü wurde geöffnet
02.02.2026|08:43:30|User 1|Programm beendet
02.02.2026|08:44:27|User 1|Anmeldung erfolgreich
02.02.2026|08:44:28|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:44:53|User 1|Menü wurde geöffnet
02.02.2026|08:44:55|User 1|Programm beendet
02.02.2026|08:46:04|User 1|Anmeldung erfolgreich
02.02.2026|08:46:04|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:46:31|User 1|Menü wurde geöffnet
02.02.2026|08:46:33|User 1|Programm beendet
02.02.2026|08:47:51|User 1|Anmeldung erfolgreich
02.02.2026|08:47:51|User 1|Zu Schlafzimmer gewechselt
02.02.2026|08:48:20|User 1|Menü wurde geöffnet
02.02.2026|08:48:21|User 1|Programm beendet
